Object,District,Date,Day,Hour,Latitude,Longitude
Fraud,D4,2016-02-01 08:00:00,Monday,8,42.33740281,-71.08221533
Fraud,B3,2016-02-01 00:00:00,Monday,0,42.2960628,-71.08664795
Fraud,C11,2016-02-02 11:00:00,Tuesday,11,42.30648026,-71.06675783
Fraud,E18,2016-02-18 12:35:00,Thursday,12,42.28085355,-71.11880157
Property Lost,B3,2016-02-08 14:01:00,Monday,14,42.28282878,-71.0918249
Investigate Person,C11,2016-02-05 00:00:00,Friday,0,42.30942585,-71.06956549
Fraud,B3,2016-02-15 09:00:00,Monday,9,42.2729449,-71.09348933
Fraud,E5,2016-02-16 09:00:00,Tuesday,9,42.2578406,-71.14813948
Fraud,D14,2016-02-01 22:30:00,Monday,22,42.35159398,-71.12865659
Fraud,D4,2016-02-18 09:00:00,Thursday,9,42.35421238,-71.07450614
Investigate Person,E13,2016-02-01 12:00:00,Monday,12,42.31506898,-71.09746579
Missing Person Reported,E13,2016-02-01 12:00:00,Monday,12,42.31506898,-71.09746579
Larceny From Motor Vehicle,A15,2016-02-01 10:00:00,Monday,10,42.3787592,-71.05598086
Harassment,D4,2016-02-01 00:01:00,Monday,0,42.342948,-71.078887
Fraud,B3,2016-02-01 14:41:00,Monday,14,42.2741969,-71.10738225
Counterfeiting,A1,2016-02-01 00:00:00,Monday,0,42.35756667,-71.07135724
Property Lost,D4,2016-02-23 08:00:00,Tuesday,8,42.35118005,-71.07666607
Fraud,D14,2016-02-16 17:00:00,Tuesday,17,42.3390647,-71.15642795
Fraud,D4,2016-02-02 13:38:00,Tuesday,13,42.339675,-71.0829325
Property Lost,B2,2016-02-01 13:39:00,Monday,13,42.33757656,-71.09945172
Fraud,C11,2016-02-25 00:00:00,Thursday,0,42.29033712,-71.04528025
Fraud,A7,2016-02-27 09:00:00,Saturday,9,42.37346135,-71.03356923
Other,E18,2016-02-01 00:00:00,Monday,0,42.28746287,-71.11847944
Harassment,D14,2016-02-01 00:00:00,Monday,0,42.35454181,-71.13842131
Fraud,E5,2016-02-17 12:00:00,Wednesday,12,42.27800645,-71.13733723
Police Service Incidents,E5,2016-02-17 12:00:00,Wednesday,12,42.27800645,-71.13733723
Confidence Games,D4,2016-02-18 00:00:00,Thursday,0,42.34186765,-71.07272215
Fraud,A15,2016-02-01 08:00:00,Monday,8,42.38003093,-71.06248252
Fraud,C11,2016-02-01 08:00:00,Monday,8,42.30981554,-71.05054905
