Latitude,Longitude,Magnitude,Year,Month,Day,Time
-15.237,-173.608,6.5,1967,01,01,07:05:51
-11.2,165.416,5.9,1967,01,01,21:59:00
-10.187,28.424,5.6,1967,01,02,09:47:54
-12.347,166.221,6.0,1967,01,02,20:00:00
-11.093,165.668,6.1,1967,01,03,05:35:49
-11.112,165.536,5.6,1967,01,03,11:05:17
-12.376,166.473,5.8,1967,01,03,21:23:23
20.318,120.114,5.6,1967,01,04,03:41:37
10.881,-62.33,5.5,1967,01,04,20:16:00
48.168,103.036,7.0,1967,01,05,00:14:41
48.477,103.021,5.8,1967,01,05,00:42:12
48.04,103.013,5.9,1967,01,05,23:58:20
41.878,143.482,5.9,1967,01,06,00:04:06
-1.461,126.477,5.6,1967,01,06,10:03:05
-48.873,112.803,6.0,1967,01,07,00:27:24
11.854,142.866,5.7,1967,01,07,13:34:46
-0.149,120.033,5.7,1967,01,11,05:54:03
33.989,45.738,6.1,1967,01,11,11:20:48
-10.515,161.406,6.2,1967,01,13,13:48:14
-11.248,165.623,6.0,1967,01,16,14:26:29
-27.335,-63.204,6.2,1967,01,17,01:07:55
38.244,142.152,6.6,1967,01,17,11:59:33
56.564,120.947,5.5,1967,01,18,05:34:37
52.565,-168.501,5.9,1967,01,18,08:18:23
-11.903,166.494,5.9,1967,01,19,12:38:31
48.105,103.064,6.4,1967,01,20,01:57:23
-49.917,-114.881,6.3,1967,01,21,02:54:04
19.973,-109.129,6.0,1967,01,23,20:25:40
41.5,142.2,5.7,1967,01,24,03:05:40
-0.922,-21.081,6.5,1967,01,24,09:29:11
36.715,71.625,6.0,1967,01,25,01:50:20
52.45,-169.603,6.8,1967,01,28,13:53:00
52.288,-169.353,5.6,1967,01,28,16:31:23
52.242,-169.468,5.8,1967,01,28,17:42:02
26.107,96.115,5.6,1967,01,30,21:05:30
2.619,-84.363,5.6,1967,01,31,13:37:32
-57.94,-25.663,6.1,1967,02,02,06:25:49
-5.542,110.478,5.6,1967,02,03,12:48:09
56.521,-157.326,5.7,1967,02,07,14:53:14
2.849,-74.798,7.0,1967,02,09,15:24:49
52.812,-34.14,7.0,1967,02,13,23:14:24
13.555,96.463,6.8,1967,02,14,01:36:08
-13.303,171.408,5.8,1967,02,14,05:02:39
-9.163,-71.274,7.0,1967,02,15,16:11:12
-23.878,-175.078,6.5,1967,02,17,10:10:52
-5.873,153.267,5.6,1967,02,18,02:39:20
-8.965,113.017,6.3,1967,02,19,22:14:36
-0.072,124.213,5.9,1967,02,19,23:28:29
33.617,75.333,5.5,1967,02,20,15:18:41
-19.516,169.216,5.8,1967,02,22,18:26:48
26.184,128.611,6.0,1967,02,23,20:38:59
-0.077,123.947,5.9,1967,02,25,11:20:50
-0.114,123.969,5.9,1967,02,25,11:38:45
32.608,141.649,6.0,1967,02,28,09:37:20
-0.214,-78.595,6.0,1967,03,02,02:47:33
21.398,121.823,5.7,1967,03,04,05:09:25
-18.558,-175.286,5.7,1967,03,04,06:16:24
39.1,24.684,6.6,1967,03,04,17:58:06
-10.617,166.198,5.9,1967,03,09,06:58:36
-10.622,166.333,5.9,1967,03,09,18:02:42
-10.821,166.388,5.9,1967,03,11,08:33:29
19.263,-95.801,5.9,1967,03,11,14:45:01
-40.17,-74.722,5.7,1967,03,13,16:06:53
19.581,38.874,5.6,1967,03,13,19:22:19
28.463,94.248,5.7,1967,03,14,06:58:05
-3.575,150.909,6.2,1967,03,17,11:24:47
-6.075,146.354,5.7,1967,03,18,19:15:37
-6.727,129.744,6.2,1967,03,19,01:10:51
45.527,151.188,6.7,1967,03,19,04:01:41
45.672,151.301,5.8,1967,03,20,13:31:35
45.438,151.511,5.7,1967,03,20,13:40:53
-5.972,112.225,6.7,1967,03,24,09:00:20
45.201,151.551,5.9,1967,03,25,22:47:59
-9.182,148.623,5.7,1967,03,26,22:39:03
38.474,116.608,6.1,1967,03,27,08:58:24
-16.438,168.214,6.4,1967,03,27,10:01:45
-11.114,115.227,6.2,1967,03,30,02:08:01
45.718,151.83,6.1,1967,04,01,05:54:21
45.661,151.789,5.8,1967,04,01,05:57:08
45.617,151.703,6.1,1967,04,01,12:23:35
-6.024,151.499,5.9,1967,04,03,08:04:18
20.036,147.311,5.9,1967,04,05,02:34:10
19.992,147.227,5.7,1967,04,05,02:47:54
20.07,147.252,5.8,1967,04,06,12:21:59
-3.989,135.677,6.0,1967,04,09,00:05:10
-7.359,155.753,5.7,1967,04,10,04:59:56
