zip_code,label,department_name,department_number,region_name
25650,ville du pont,doubs,25,bourgogne-franche-comté
25640,villers grelot,doubs,25,bourgogne-franche-comté
25310,villars les blamont,doubs,25,bourgogne-franche-comté
25240,les villedieu,doubs,25,bourgogne-franche-comté
25170,villers buzon,doubs,25,bourgogne-franche-comté
25510,villers la combe,doubs,25,bourgogne-franche-comté
25270,villers sous chalamont,doubs,25,bourgogne-franche-comté
25420,voujeaucourt,doubs,25,bourgogne-franche-comté
2860,bouconville vauclair,aisne,02,hauts-de-france
2400,bouresches,aisne,02,hauts-de-france
2240,brissy hamegicourt,aisne,02,hauts-de-france
2810,brumetz,aisne,02,hauts-de-france
2360,brunehamel,aisne,02,hauts-de-france
2880,bucy le long,aisne,02,hauts-de-france
2300,caillouel crepigny,aisne,02,hauts-de-france
2300,camelin,aisne,02,hauts-de-france
2860,cerny en laonnois,aisne,02,hauts-de-france
2000,chambry,aisne,02,hauts-de-france
2340,chaourse,aisne,02,hauts-de-france
2800,charmes,aisne,02,hauts-de-france
2200,chaudun,aisne,02,hauts-de-france
2300,chauny,aisne,02,hauts-de-france
2810,chezy en orxois,aisne,02,hauts-de-france
2000,chivy les etouvelles,aisne,02,hauts-de-france
2220,ciry salsogne,aisne,02,hauts-de-france
2440,clastres,aisne,02,hauts-de-france
2860,montchalons,aisne,02,hauts-de-france
2860,monthenault,aisne,02,hauts-de-france
2810,montigny l allier,aisne,02,hauts-de-france
2290,montigny lengrain,aisne,02,hauts-de-france
2220,mont notre dame,aisne,02,hauts-de-france
2360,mont st jean,aisne,02,hauts-de-france
2210,muret et crouttes,aisne,02,hauts-de-france
2400,nesles la montagne,aisne,02,hauts-de-france
2190,neufchatel sur aisne,aisne,02,hauts-de-france
2170,le nouvion en thierache,aisne,02,hauts-de-france
2300,ognes,aisne,02,hauts-de-france
2190,orainville,aisne,02,hauts-de-france
2290,osly courtil,aisne,02,hauts-de-france
2860,pancy courtecon,aisne,02,hauts-de-france
2260,papleux,aisne,02,hauts-de-france
2210,parcy et tigny,aisne,02,hauts-de-france
2840,parfondru,aisne,02,hauts-de-france
2330,pargny la dhuys,aisne,02,hauts-de-france
2270,pargny les bois,aisne,02,hauts-de-france
2240,parpeville,aisne,02,hauts-de-france
2540,viffort,aisne,02,hauts-de-france
2130,villeneuve sur fere,aisne,02,hauts-de-france
2590,villers st christophe,aisne,02,hauts-de-france
2500,wimy,aisne,02,hauts-de-france
5800,st firmin en valgodemard,hautes-alpes,05,provence-alpes-côte d'azur
2250,bosmont sur serre,aisne,02,hauts-de-france
2160,bouffignereux,aisne,02,hauts-de-france
2300,bourguignon sous coucy,aisne,02,hauts-de-france
2320,brancourt en laonnois,aisne,02,hauts-de-france
2000,braye en laonnois,aisne,02,hauts-de-france
2220,brenelle,aisne,02,hauts-de-france
2870,brie,aisne,02,hauts-de-france
2860,bruyeres et montberault,aisne,02,hauts-de-france
2300,camelin,aisne,02,hauts-de-france
2680,castres,aisne,02,hauts-de-france
2000,chaillevois,aisne,02,hauts-de-france
7190,albon d ardeche,ardèche,07,auvergne-rhône-alpes
2370,chassemy,aisne,02,hauts-de-france
2400,chateau thierry,aisne,02,hauts-de-france
7100,annonay,ardèche,07,auvergne-rhône-alpes
2270,chatillon les sons,aisne,02,hauts-de-france
2240,chatillon sur oise,aisne,02,hauts-de-france
2220,chery chartreuve,aisne,02,hauts-de-france
7140,les assions,ardèche,07,auvergne-rhône-alpes
2000,chery les pouilly,aisne,02,hauts-de-france
7190,beauvene,ardèche,07,auvergne-rhône-alpes
2120,chigny,aisne,02,hauts-de-france
2250,cilly,aisne,02,hauts-de-france
7150,bessas,ardèche,07,auvergne-rhône-alpes
7100,boulieu les annonay,ardèche,07,auvergne-rhône-alpes
7000,freyssenet,ardèche,07,auvergne-rhône-alpes
7140,gravieres,ardèche,07,auvergne-rhône-alpes
7110,laurac en vivarais,ardèche,07,auvergne-rhône-alpes
7140,malarce sur la thines,ardèche,07,auvergne-rhône-alpes
7190,marcols les eaux,ardèche,07,auvergne-rhône-alpes
