Saxophone_model,First_serial_number,Last_serial_number,Year
Model 22,750,1400,1922
Model 22,1401,2350,1923
Model 22,2351,3350,1924
Model 22,3351,4450,1925
Model 26,4451,5600,1926
Model 26,5601,7850,1927
Model 26,7851,9700,1928
Model 26,9701,11950,1929
Cigar Cutter/Super Sax,11951,14000,1930
Cigar Cutter/Super Sax,14001,15750,1931
Cigar Cutter/Super Sax,15751,17250,1932
Cigar Cutter/Super Sax,17251,18700,1933
Radio Improved,18701,20100,1934
Radio Improved,20101,21750,1935
Balanced Action,21751,22650,1936
Balanced Action,22651,25600,1937
Balanced Action,25601,27650,1938
Balanced Action,27651,29300,1939
Balanced Action,29301,29750,1940
Balanced Action,29751,30500,1941
Balanced Action,30501,31150,1942
Balanced Action,31151,31580,1943
Balanced Action,31581,31850,1944
Balanced Action,31851,32350,1945
Balanced Action,32351,33700,1946
Balanced Action,33701,35800,1947
Super Action,35801,38500,1948
Super Action,38501,41500,1949
Super Action,41501,45100,1950
Super Action,45101,48300,1951
Super Action,48301,51800,1952
Super Action,51801,55200,1953
Mark VI,55201,59000,1954
Mark VI,59001,63400,1955
Mark VI,63401,68900,1956
Mark VI,68901,74500,1957
Mark VI,74501,80400,1958
Mark VI,80401,85200,1959
Mark VI,85201,91300,1960
Mark VI,91301,97300,1961
Mark VI,97301,104500,1962
Mark VI,104501,112500,1963
Mark VI,112501,121600,1964
Mark VI,121601,131800,1965
Mark VI,131801,141500,1966
Mark VI,141501,152400,1967
Mark VI,152401,162500,1968
Mark VI,162501,173800,1969
Mark VI,173801,184900,1970
Mark VI,184901,196000,1971
Mark VI,196001,208700,1972
Mark VI,208701,220800,1973
Mark VII,220801,233900,1974
Mark VII,233901,246800,1975
Mark VII,246801,261100,1976
Mark VII,261101,276100,1977
Mark VII,276101,289700,1978
Mark VII,289701,303100,1979
Mark VII,303101,315500,1980
Super Action 80,315501,327300,1981
Super Action 80,327301,340200,1982
Super Action 80,340201,353300,1983
Super Action 80,353301,366400,1984
Super Action 80,366401,378800,1985
Super Action 80/Series II,378801,391000,1986
Super Action 80/Series II,391001,406000,1987
Super Action 80/Series II,406001,422500,1988
Super Action 80/Series II,422501,439600,1989
Super Action 80/Series II,439601,457500,1990
Super Action 80/Series II,457501,473600,1991
Super Action 80/Series II,473601,490000,1992
